--- REPORTE OFICIAL ALPR VEHISCAN ---
Generado por: admin@vehiscan.local
Fecha de Generacion: 2026-05-28 00:12:30.012140Z
Filtro Camara ID: 
Filtro Zona: 
Filtro Desde: 2026-05-21
Filtro Hasta: 2026-05-28
Lecturas Totales: 235
Lecturas Exitosas: 228 (97.0%)
Lecturas Fallidas (Baja Confianza): 7 (3.0%)
------------------------------------
Fecha y Hora,Camara,Zona,Placa Original,Placa Normalizada,Confianza %,Tipo,Color,Estado de Lectura
2026-05-28 00:08:17.703877Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,black,EXITOSA
2026-05-28 00:08:13.203361Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.4%,car,gray,EXITOSA
2026-05-28 00:08:07.449753Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,93.6%,truck,black,EXITOSA
2026-05-28 00:07:56.404261Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,black,EXITOSA
2026-05-28 00:07:50.453919Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,gray,EXITOSA
2026-05-28 00:07:45.724535Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,black,EXITOSA
2026-05-28 00:07:37.663735Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,black,EXITOSA
2026-05-28 00:07:31.571193Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.2%,car,gray,EXITOSA
2026-05-28 00:07:20.869455Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.0%,car,black,EXITOSA
2026-05-28 00:07:13.263157Z,CAM-ONLINE,San Borja,FGH456,FGH456,75.1%,car,gray,EXITOSA
2026-05-28 00:06:37.248473Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,black,EXITOSA
2026-05-28 00:06:12.898242Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,94.3%,car,black,EXITOSA
2026-05-27 23:47:12.117416Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,black,EXITOSA
2026-05-27 23:47:07.001642Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,silver,EXITOSA
2026-05-27 23:46:57.690370Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.2%,car,green,EXITOSA
2026-05-27 23:46:53.373051Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.4%,car,white,EXITOSA
2026-05-27 23:46:48.242072Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,97.5%,truck,green,EXITOSA
2026-05-27 23:46:37.122018Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.4%,car,white,EXITOSA
2026-05-27 23:46:29.503505Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,gray,EXITOSA
2026-05-27 23:46:15.750855Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,94.3%,car,red,EXITOSA
2026-05-27 23:46:11.194277Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,gray,EXITOSA
2026-05-27 23:46:06.089135Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,gray,EXITOSA
2026-05-27 23:45:55.909619Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.5%,car,gray,EXITOSA
2026-05-27 23:45:51.507966Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.4%,car,gray,EXITOSA
2026-05-27 23:45:46.635309Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,red,EXITOSA
2026-05-27 23:45:36.246301Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,gray,EXITOSA
2026-05-27 23:45:29.947868Z,CAM-ONLINE,San Borja,FGH456,FGH456,92.6%,car,white,EXITOSA
2026-05-27 23:45:17.351964Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,white,EXITOSA
2026-05-27 23:45:12.019888Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.4%,car,black,EXITOSA
2026-05-27 23:45:06.922863Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,red,EXITOSA
2026-05-27 23:44:55.294063Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,94.3%,car,silver,EXITOSA
2026-05-27 23:44:49.133282Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,silver,EXITOSA
2026-05-27 23:44:36.981541Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,red,EXITOSA
2026-05-27 23:44:30.757293Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,black,EXITOSA
2026-05-27 23:44:25.473575Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,red,EXITOSA
2026-05-27 23:44:17.456895Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,gray,EXITOSA
2026-05-27 23:44:11.628576Z,CAM-ONLINE,San Borja,FGH456,FGH456,89.7%,car,gray,EXITOSA
2026-05-27 23:44:07.005757Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,gray,EXITOSA
2026-05-27 23:43:55.936022Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,87.8%,car,white,EXITOSA
2026-05-27 23:43:51.465233Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.4%,car,blue,EXITOSA
2026-05-27 23:43:47.209258Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,gray,EXITOSA
2026-05-27 23:43:37.983590Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,blue,EXITOSA
2026-05-27 23:43:31.862598Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,green,EXITOSA
2026-05-27 23:43:27.170579Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,93.6%,truck,blue,EXITOSA
2026-05-27 23:43:16.813905Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,blue,EXITOSA
2026-05-27 23:43:12.734697Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,blue,EXITOSA
2026-05-27 23:43:07.668567Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,blue,EXITOSA
2026-05-27 23:42:58.708945Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.2%,car,gray,EXITOSA
2026-05-27 23:42:52.764593Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.4%,car,gray,EXITOSA
2026-05-27 23:42:47.720120Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,green,EXITOSA
2026-05-27 23:42:37.080015Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.4%,car,white,EXITOSA
2026-05-27 23:42:31.409293Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,green,EXITOSA
2026-05-27 23:42:26.927771Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,97.5%,truck,gray,EXITOSA
2026-05-27 23:42:17.984536Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.5%,car,green,EXITOSA
2026-05-27 23:42:14.160295Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.2%,car,gray,EXITOSA
2026-05-27 23:42:09.765655Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,black,EXITOSA
2026-05-27 23:41:58.198742Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,gray,EXITOSA
2026-05-27 23:41:51.213278Z,CAM-ONLINE,San Borja,FGH456,FGH456,88.8%,car,black,EXITOSA
2026-05-27 23:41:37.573021Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,white,EXITOSA
2026-05-27 23:41:31.630379Z,CAM-ONLINE,San Borja,FGH456,FGH456,89.8%,car,black,EXITOSA
2026-05-27 23:41:17.189674Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,91.8%,car,red,EXITOSA
2026-05-27 23:41:13.138068Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.2%,car,silver,EXITOSA
2026-05-27 23:41:08.369112Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.9%,truck,white,EXITOSA
2026-05-27 23:40:56.871016Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,90.7%,car,black,EXITOSA
2026-05-27 23:40:52.729753Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.4%,car,gray,EXITOSA
2026-05-27 23:40:48.337943Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,green,EXITOSA
2026-05-27 23:40:40.141455Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.2%,car,red,EXITOSA
2026-05-27 23:40:34.139482Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,blue,EXITOSA
2026-05-27 23:40:29.376967Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,red,EXITOSA
2026-05-27 23:40:18.655153Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,91.8%,car,white,EXITOSA
2026-05-27 23:40:11.074196Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,gray,EXITOSA
2026-05-27 23:39:59.105955Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.2%,car,black,EXITOSA
2026-05-27 23:39:54.859040Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.4%,car,blue,EXITOSA
2026-05-27 23:39:39.260597Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,81.9%,car,red,EXITOSA
2026-05-27 23:39:33.724818Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,black,EXITOSA
2026-05-27 23:39:19.339321Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,gray,EXITOSA
2026-05-27 23:39:13.362369Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,green,EXITOSA
2026-05-27 23:39:00.476587Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,black,EXITOSA
2026-05-27 23:38:51.247686Z,CAM-ONLINE,San Borja,FGH456,FGH456,89.8%,car,red,EXITOSA
2026-05-27 23:38:38.053833Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,blue,EXITOSA
2026-05-27 23:38:29.067502Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,white,EXITOSA
2026-05-27 23:38:17.137398Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.0%,car,gray,EXITOSA
2026-05-27 23:38:12.171353Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,black,EXITOSA
2026-05-27 23:38:07.085801Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,red,EXITOSA
2026-05-27 23:37:58.144809Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,blue,EXITOSA
2026-05-27 23:37:50.938370Z,CAM-ONLINE,San Borja,FGH456,FGH456,92.6%,car,red,EXITOSA
2026-05-27 23:37:38.401419Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,blue,EXITOSA
2026-05-27 23:37:33.650912Z,CAM-ONLINE,San Borja,FGH456,FGH456,92.7%,car,white,EXITOSA
2026-05-27 23:37:27.558422Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,gray,EXITOSA
2026-05-27 23:37:16.562036Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,silver,EXITOSA
2026-05-27 23:29:58.045471Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,red,EXITOSA
2026-05-27 23:29:37.355983Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,blue,EXITOSA
2026-05-27 23:29:18.808444Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,94.3%,car,red,EXITOSA
2026-05-27 23:28:57.837780Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.4%,car,silver,EXITOSA
2026-05-27 23:28:50.154182Z,CAM-ONLINE,San Borja,FGH456,FGH456,87.6%,car,silver,EXITOSA
2026-05-27 23:28:37.426138Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.2%,car,silver,EXITOSA
2026-05-27 23:28:29.550316Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.4%,car,silver,EXITOSA
2026-05-27 23:28:15.280111Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.2%,car,green,EXITOSA
2026-05-27 23:28:04.383255Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,93.6%,truck,green,EXITOSA
2026-05-27 23:27:53.574830Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,white,EXITOSA
2026-05-27 23:27:45.961296Z,CAM-ONLINE,San Borja,FGH456,FGH456,92.6%,car,gray,EXITOSA
2026-05-27 23:27:33.318797Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,gray,EXITOSA
2026-05-27 23:27:15.047552Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,red,EXITOSA
2026-05-27 23:27:05.489930Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,silver,EXITOSA
2026-05-27 23:26:38.846971Z,CAM-ONLINE,San Borja,FGH456,FGH456,90.2%,car,white,EXITOSA
2026-05-27 23:26:24.127922Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,92.6%,car,white,EXITOSA
2026-05-27 23:26:16.304299Z,CAM-ONLINE,San Borja,FGH456,FGH456,91.7%,car,silver,EXITOSA
2026-05-27 23:26:11.703920Z,CAM-ONLINE,San Borja,XYZ789,XYZ789,96.0%,truck,green,EXITOSA
2026-05-27 23:26:01.827272Z,CAM-ONLINE,San Borja,ABCI23,ABCI23,93.5%,car,silver,EXITOSA
