--- REPORTE OFICIAL ALPR VEHISCAN ---
Generado por: admin@vehiscan.local
Fecha de Generacion: 2026-05-25 19:43:54.876149Z
Filtro Camara ID: Todas
Filtro Zona: Todas
Filtro Desde: 2026-05-01
Filtro Hasta: 2026-05-31
Lecturas Totales: 15
Lecturas Exitosas: 8 (53.3%)
Lecturas Fallidas (Baja Confianza): 7 (46.7%)
------------------------------------
Fecha y Hora,Camara,Zona,Placa Original,Placa Normalizada,Confianza %,Tipo,Color,Estado de Lectura
2026-05-25 19:31:47.834874Z,CAM-001,Cercado,QRS345,QRS345,90.7%,car,gray,EXITOSA
2026-05-25 19:31:47.831913Z,CAM-002,San Borja,NOP012,NOP012,43.9%,truck,silver,FALLIDA (BAJA CONFIANZA)
2026-05-25 19:31:47.829081Z,CAM-ONLINE,San Borja,KLM789,KLM789,85.4%,car,white,EXITOSA
2026-05-25 19:31:47.826561Z,CAM-001,Cercado,HIJ456,HIJ456,29.3%,car,green,FALLIDA (BAJA CONFIANZA)
2026-05-25 19:31:47.823484Z,CAM-002,San Borja,EFG123,EFG123,71.8%,motorcycle,blue,FALLIDA (BAJA CONFIANZA)
2026-05-25 19:31:47.819327Z,CAM-001,Cercado,BCD890,BCD890,97.2%,bus,red,EXITOSA
2026-05-25 19:31:47.815971Z,CAM-ONLINE,San Borja,YZA567,YZA567,55.0%,car,black,FALLIDA (BAJA CONFIANZA)
2026-05-25 19:31:47.812138Z,CAM-003,Miraflores,VWX234,VWX234,81.6%,car,white,EXITOSA
2026-05-25 19:31:47.808447Z,CAM-004,Jesús María,STU901,STU901,62.4%,truck,gray,FALLIDA (BAJA CONFIANZA)
2026-05-25 19:31:47.800913Z,CAM-ONLINE,San Borja,PQR678,PQR678,95.1%,car,silver,EXITOSA
2026-05-25 19:31:47.797607Z,CAM-ONLINE,San Borja,MNO345,MNO345,33.7%,motorcycle,green,FALLIDA (BAJA CONFIANZA)
2026-05-25 19:31:47.790810Z,CAM-ONLINE,San Borja,JKL012,JKL012,78.9%,bus,blue,EXITOSA
2026-05-25 19:31:47.780839Z,CAM-004,Jesús María,FGH456,FGH456,45.2%,car,red,FALLIDA (BAJA CONFIANZA)
2026-05-25 19:31:47.770572Z,CAM-002,San Borja,XYZ789,XYZ789,88.3%,truck,black,EXITOSA
2026-05-25 19:31:47.740027Z,CAM-004,Jesús María,ABC123,ABC123,92.5%,car,white,EXITOSA
